Name,Score,Consistency,Metabolite Annotation,Reaction Annotation,Gene Annotation,SBO annotation,,,Score,Consistency,Metabolite Annotation,Reaction Annotation,Gene Annotation,SBO annotation
139.96,85,97.19,54.54,55.21,40,90.91,,AVERAGE,83.71444201,93.23483589,54.54,55.41217724,40,90.91
140.36,85,96.82,54.54,55.21,40,90.91,,STANDARD DEVIATION,1.06341602,2.92913342,0,0.060312869,0,0
142.3,85,96.73,54.54,55.23,40,90.91,,MEDIAN,84,93.365,54.54,55.44,40,90.91
160.25,85,96.56,54.54,55.24,40,90.91,,MINIMUM,67,49.14,54.54,55.14,40,90.91
161.9,85,96.9,54.54,55.22,40,90.91,,MAXIMUM,86,98.11,54.54,55.48,40,90.91
168.12,85,96.25,54.54,55.24,40,90.91,,,,,,,,
173.21,85,94.24,54.54,55.43,40,90.91,,,,,,,,
174.8,84,94.93,54.54,55.42,40,90.91,,,,,,,,
195.3313,84,94.95,54.54,55.37,40,90.91,,,,,,,,
199.901,85,97.16,54.54,55.37,40,90.91,,,,,,,,
203.1,85,95.77,54.54,55.37,40,90.91,,,,,,,,
210.8698,85,95.99,54.54,55.34,40,90.91,,,,,,,,
213.62,85,95.48,54.54,55.36,40,90.91,,,,,,,,
263.91,84,94.11,54.54,55.41,40,90.91,,,,,,,,
264.27,84,93.67,54.54,55.41,40,90.91,,,,,,,,
287.9884,83,92.08,54.54,55.45,40,90.91,,,,,,,,
292.297,83,91.19,54.54,55.48,40,90.91,,,,,,,,
294.494,84,92.81,54.54,55.46,40,90.91,,,,,,,,
303.754,84,92.88,54.54,55.47,40,90.91,,,,,,,,
316.574,83,92.5,54.54,55.45,40,90.91,,,,,,,,
446.995,84,93.54,54.54,55.44,40,90.91,,,,,,,,
450.9,83,92.44,54.54,55.43,40,90.91,,,,,,,,
451.12,84,93.1,54.54,55.43,40,90.91,,,,,,,,
470.9821,84,93.85,54.54,55.44,40,90.91,,,,,,,,
480.345,84,93.94,54.54,55.4,40,90.91,,,,,,,,
483.52,84,94.57,54.54,55.39,40,90.91,,,,,,,,
485.9947,84,94.05,54.54,55.4,40,90.91,,,,,,,,
486.36,84,94.35,54.54,55.4,40,90.91,,,,,,,,
487.517,84,93.53,54.54,55.4,40,90.91,,,,,,,,
488.146,84,93.78,54.54,55.4,40,90.91,,,,,,,,
490.6,84,93.68,54.54,55.41,40,90.91,,,,,,,,
495.31,84,94.19,54.54,55.4,40,90.91,,,,,,,,
504.11,84,94.38,54.54,55.4,40,90.91,,,,,,,,
518.9,84,93.28,54.54,55.46,40,90.91,,,,,,,,
519.98,84,93.09,54.54,55.45,40,90.91,,,,,,,,
520.999,84,92.99,54.54,55.45,40,90.91,,,,,,,,
536.61,83,91.58,54.54,55.46,40,90.91,,,,,,,,
545.68,83,92.41,54.54,55.46,40,90.91,,,,,,,,
546.94,83,91.57,54.54,55.46,40,90.91,,,,,,,,
548.624,83,91.97,54.54,55.47,40,90.91,,,,,,,,
549.24,83,90.85,54.54,55.46,40,90.91,,,,,,,,
550.642,83,90.35,54.54,55.46,40,90.91,,,,,,,,
562.9316,83,92.03,54.54,55.45,40,90.91,,,,,,,,
564.45,83,92.08,54.54,55.45,40,90.91,,,,,,,,
569.68,83,91.17,54.54,55.44,40,90.91,,,,,,,,
571.99,83,91.26,54.54,55.47,40,90.91,,,,,,,,
573.9779,83,90.52,54.54,55.47,40,90.91,,,,,,,,
582.609,83,91.74,54.54,55.44,40,90.91,,,,,,,,
584.85,83,91.42,54.54,55.44,40,90.91,,,,,,,,
585.52,83,92.38,54.54,55.44,40,90.91,,,,,,,,
587.58,83,92.54,54.54,55.46,40,90.91,,,,,,,,
588.46,83,91.72,54.54,55.44,40,90.91,,,,,,,,
611.359,83,90.72,54.54,55.45,40,90.91,,,,,,,,
615.999,83,92.31,54.54,55.46,40,90.91,,,,,,,,
621.85,83,91.83,54.54,55.46,40,90.91,,,,,,,,
622.54,83,91.67,54.54,55.45,40,90.91,,,,,,,,
623.999,83,92.05,54.54,55.45,40,90.91,,,,,,,,
624.637,84,94,54.54,55.46,40,90.91,,,,,,,,
630.33,83,92.41,54.54,55.45,40,90.91,,,,,,,,
631.41,83,91.51,54.54,55.45,40,90.91,,,,,,,,
632.705,83,91.81,54.54,55.44,40,90.91,,,,,,,,
633.88,83,90.88,54.54,55.44,40,90.91,,,,,,,,
644.752,83,91.99,54.54,55.45,40,90.91,,,,,,,,
648.77,83,92.53,54.54,55.46,40,90.91,,,,,,,,
654.657,83,92,54.54,55.46,40,90.91,,,,,,,,
666.5676,83,91.76,54.54,55.44,40,90.91,,,,,,,,
670.961,83,92.07,54.54,55.46,40,90.91,,,,,,,,
672.851,83,91.58,54.54,55.46,40,90.91,,,,,,,,
673.5,84,93.69,54.54,55.44,40,90.91,,,,,,,,
676.305,83,92.04,54.54,55.46,40,90.91,,,,,,,,
686.93,83,91.26,54.54,55.44,40,90.91,,,,,,,,
725.21,84,93.97,54.54,55.39,40,90.91,,,,,,,,
726.44,84,94.24,54.54,55.39,40,90.91,,,,,,,,
727.972,84,93.53,54.54,55.39,40,90.91,,,,,,,,
729.347,83,92.61,54.54,55.4,40,90.91,,,,,,,,
730.57,84,94.21,54.54,55.37,40,90.91,,,,,,,,
747.973,83,92.81,54.54,55.41,40,90.91,,,,,,,,
753.27,84,93.37,54.54,55.41,40,90.91,,,,,,,,
754.3,84,93.41,54.54,55.41,40,90.91,,,,,,,,
774.13,85,96.61,54.54,55.34,40,90.91,,,,,,,,
777.26,84,94.5,54.54,55.4,40,90.91,,,,,,,,
784.27,86,98.1,54.54,55.24,40,90.91,,,,,,,,
813.94,85,96.02,54.54,55.3,40,90.91,,,,,,,,
817.86,84,92.93,54.54,55.43,40,90.91,,,,,,,,
818.23,84,93.8,54.54,55.42,40,90.91,,,,,,,,
820.5511,84,94.37,54.54,55.42,40,90.91,,,,,,,,
821.4651,84,93.89,54.54,55.42,40,90.91,,,,,,,,
823.377,84,93.41,54.54,55.43,40,90.91,,,,,,,,
824.5,84,95.22,54.54,55.37,40,90.91,,,,,,,,
837.83,85,95.7,54.54,55.36,40,90.91,,,,,,,,
851.301,84,94.96,54.54,55.37,40,90.91,,,,,,,,
856.21,84,93.28,54.54,55.41,40,90.91,,,,,,,,
860.19,84,94.57,54.54,55.38,40,90.91,,,,,,,,
861.5,84,93.6,54.54,55.41,40,90.91,,,,,,,,
1017.4,84,94.37,54.54,55.38,40,90.91,,,,,,,,
1019.5,84,93.95,54.54,55.38,40,90.91,,,,,,,,
1260.177,85,96.29,54.54,55.34,40,90.91,,,,,,,,
1282.4634,83,90.46,54.54,55.41,40,90.91,,,,,,,,
1283.98,84,93.52,54.54,55.41,40,90.91,,,,,,,,
1292.16,84,93.54,54.54,55.41,40,90.91,,,,,,,,
1302.83,83,92.13,54.54,55.39,40,90.91,,,,,,,,
1307.4627,83,91.66,54.54,55.39,40,90.91,,,,,,,,
1309.331,83,92.72,54.54,55.39,40,90.91,,,,,,,,
1310.8,84,94.51,54.54,55.39,40,90.91,,,,,,,,
1311.983,83,91.24,54.54,55.38,40,90.91,,,,,,,,
1313.39228,84,92.86,54.54,55.38,40,90.91,,,,,,,,
1314.999,84,93.84,54.54,55.37,40,90.91,,,,,,,,
