,Genome ID,Genome Name,gram,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Source,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
1683,139.96,Borreliella burgdorferi strain B331,negative,,139,Complete,B331,,,,,,,,2017-10-04T00:00:00Z,,PRJNA342676,SAMN05763278,GCA_002442595.1,,"CP017201,CP017202,CP017203,CP017204,CP017205,CP017206,CP017207,CP017208,CP017209,CP017210,CP017211,CP017212",,New York Medical College,,Illumina; PacBio,150x,HGAP assembly v. 3,1,18,19,1410009,28.3,1494,1385,Skin,Skin,,Jul-96,USA,USA:New York,,,,,,"Human, Homo sapiens",,,Lyme disease,,,host_health_state:NY,,,,,,,,,,,,,Whole genome sequencing of clinical isolates of Borrelia burgdorferi,collected_by:NYMC,99.9,99.8,23.1,0.2,Low CheckM completeness score,Poor,2017-11-23T02:51:34.555Z,2017-11-23T02:51:34.555Z
1700,140.36,Borrelia hermsii strain ML1,negative,,140,Complete,ML1,,,,,,,,2021-11-15T00:00:00Z,,PRJNA767670,SAMN21924093,GCA_020865525.1,,CP086371,,University of California Irvine,,Illumina HiSeq,1150.0x,CLC NGS Cell v. 21.04,1,,1,922239,29.824265,858,828,Blood,blood,,2018,USA,"USA:Mono County, CA",,,,,,Homo sapiens,,,tick-borne relapsing fever,,,,,,,,,,,,,,,,Genome sequence of a strain of the relapsing fever agent Borrelia hermsii ML1 from the eastern Sierra Nevada mountains of California,collected_by:Alan Barbour;lab_host:Mus musculus,96.7,96.3,,,,Good,2021-12-24T22:46:37.709Z,2021-12-24T22:46:37.709Z
1717,142.3,Borrelia turicatae strain BTE5EL,negative,,142,Complete,BTE5EL,,,,,,,,2016-05-19T00:00:00Z,,PRJNA318287,SAMN04695901,GCA_003568645.1,,"CP015629,CP015630,CP015631,CP015632,CP015633,CP015634,CP015635,CP015636",,Centers for Disease Control and Prevention,,PacBio,270X,"HGAP3, SMRTAnalysis v. 2.3.0",1,7,8,1305758,29.353218,1284,1185,None,,,2015,USA,USA: Texas,,,,,,"Human, Homo sapiens",,,Tick borne relapsing fever,,,,,,,,,,,,,,,,Chromosome and linear plasmid sequence,,99.7,99.3,30.3,39,High CheckM contamination score;Low CheckM completeness score,Poor,2018-10-03T13:36:11.750Z,2018-10-03T13:36:11.750Z
2019,160.25,Treponema pallidum strain UW-148B2,negative,,160,Complete,UW-148B2,,,,,,,,2019-10-13T00:00:00Z,,PRJNA534087,SAMN11476982,GCA_009017475.1,,CP045004,,University of Washington,,Illumina MiSeq,275.1x,SPAdes v. v3.13.0,1,,1,1139560,52.78594,1030,1015,None,rabbit,,2009,USA,USA: Washington,,,,,,"Human, Homo sapiens",,,syphilis,,,,,,,,,,,,,,,,WGS of two Treponema pallidum isolates from a single patient,collected_by:Christina Marra,,,,,,Good,2019-10-27T23:57:23.050Z,2019-10-27T23:57:23.050Z
2079,161.9,Treponema pallidum subsp. pallidum strain SMUTp_09,negative,,161,Complete,SMUTp_09,,,,,,,,2020-11-05T00:00:00Z,,PRJNA562373,SAMN12638761,GCA_015239395.1,,CP051889,,Southern Medical University,,Illumina MiSeq,641.0x,Bwa-men v. 0.7.15-r1140,1,,1,1139569,52.54348,1074,,Skin,Chancre,,11-Apr-18,China,China: Guangzhou,,,,,,"Human, Homo sapiens",,,Syphilis,,,,,,,,,,,,,,,,"Treponema pallidum subsp. pallidum (TPA) is the infectious agent of syphilis. This study presents six TPA genomes of Chinese isolates, four of them obtained directly from the clinical material (strain SMUTp_04, SMUTp_07, SMUTp_08, and SMUTp_09) and two obtained from a multiplication in rabbits(strain SMUTp_01 and SMUTp_02).",collected_by:Dermatology hospital of Southern Medical University,94.8,94.5,,,,Good,2020-11-30T12:59:45.073Z,2020-11-30T12:59:45.073Z
2168,168.12,Treponema pallidum subsp. pertenue strain CDC-1,negative,,168,Complete,CDC-1,,,,,,,,2018-12-18T00:00:00Z,,PRJNA416916,SAMN07967415,GCA_003952805.1,,CP024750,,"Masaryk University, Faculty of Medicine",,Illumina MiSeq,460.0x,IDBA_UD v. 1.1.1,1,,1,1139578,52.785446,1036,1064,Wound,papillomatous lesion,isolated from a 5-year old patient with yaws infection in Ghana in 1980,Nov-80,Ghana,Ghana: Densuso,,,,,,"Human, Homo sapiens",male,5 years,yaws,,,host_disease_outcome:yaws,,,,,,,,,,,,,Complete genome sequencing of Treponema pallidum subsp. pertenue strain CDC-1. Strain CDC-1 was isolated from a 5-year old patient with yaws infection in Ghana in 1980.,,99.6,99.5,,,,Good,2019-01-31T15:52:47.267Z,2019-01-31T15:52:47.267Z
2184,173.21,Leptospira interrogans strain FMAS_AW1,negative,,173,Complete,FMAS_AW1,,,,,,,,2019-05-07T00:00:00Z,,PRJNA528695,SAMN11289421,GCA_005222625.1,,"CP039283,CP039284,CP039285,CP039286",,Rajarata University of Sri lanka,,PacBio RSII,30x,Canu 1.8 v. 1.0,2,2,4,5071735,35.18082,5290,4491,Blood,blood,,6/22/17,Sri Lanka,Sri Lanka: Awissawella,,,,,,"Human, Homo sapiens",female,38 yrs,Leptospirosis,,,host_disease_outcome:recovery;host_disease_stage:acute,,,,,,,,,,,,,"This is a collaborative project to culture, isolation and genomic analysis of Sri Lankan Leptospira isolates","collected_by:Department of Community Medicine, Faculty of Medicine and Allied Sciences, Rajarata University of Sri Lanka",99.6,98.8,,,,Good,2019-07-13T18:40:47.488Z,2019-07-13T18:40:47.488Z
2191,174.8,Leptospira borgpetersenii strain FMAS_AP4,negative,,174,Complete,FMAS_AP4,,,,MLST.Leptospira_spp_3.132,,,,2021-05-18T00:00:00Z,,PRJNA528695,SAMN11919586,GCA_018403825.1,,"CP072626,CP072627",,Rajarata University of Sri lanka,,PacBio Sequel System,1229x,Canu v. 2.1,2,,2,3916982,40.090992,4181,3325,Blood,blood,,12/19/17,Sri Lanka,Sri Lanka:Anuradhapura,,,,,,Homo sapiens,male,21 yrs,Leptospirosis,,,host_disease_outcome:recovery;host_disease_stage:acute,,,,,,,,,,,,,"This is a collaborative project to culture, isolation and genomic analysis of Sri Lankan Leptospira isolates","collected_by:Department of Community Medicine, Faculty of Medicine and Allied Sciences, Rajarata University of Sri Lanka",99.8,99.6,,,,Good,2021-06-03T03:57:41.656Z,2021-06-03T03:57:41.656Z
2697,195.3313,Campylobacter coli strain R19.1157,negative,,195,Complete,R19.1157,,,,,,,,2021-06-15T00:00:00Z,,PRJNA637789,SAMN15156991,GCA_018885245.1,,CP076513,,"Centers for Disease Control, Taiwan",,Illumina MiSeq; Oxford Nanopore,100x,unicycler v. v0.4.8,1,,1,1811840,31.349678,1926,1863,Stool,stool,,2019,Taiwan,Taiwan,,,,,,Homo sapiens,,,not collected,,,,,,,,,,,,,,,,"Whole genome sequence data uploaded by Centers for Disease Control, Taiwan",collected_by:Taiwan CDC,100,99.9,,,,Good,2021-06-26T05:51:35.753Z,2021-06-26T05:51:35.753Z
2839,199.901,Campylobacter concisus strain P2CDO4,negative,,199,Complete,P2CDO4,,,,,,,,2018-04-18T00:00:00Z,29636463,PRJNA388128,SAMN07160232,GCA_003048375.1,,"CP021642,CP021643",,University of New South Wales,,PacBio,41.6x,Canu v. 1.3,1,1,2,2095236,39.234722,2099,2077,Mouth,Oral,isolated from patients with IBD and healthy controls,2-Jan-09,Australia,Australia,,,,,,"Human, Homo sapiens",,,Crohn's disease,,,,,,,,,,,,,,,,"This project examined the genomes of C. concisus strains isolated from patients with IBD and healthy controls. We found a secreted superantigen homologue, the Csep1 protein, which was encoded by C. concisus chromosome and a novel plasmid pICON. The prevalence of Csep1 proteins and their polymorphisms were shown to be associated with active IBD. Additionally, the novel plasmid pICON was only found in C. concisus strains isolated from relapsed CD patients with previous ileocecal resection.",collected_by:University of New South Wales,96.5,95.7,100,,,Good,2018-05-30T20:57:48.645Z,2018-05-30T20:57:48.645Z
